1	One	one	num	CD	cat-num|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-NP|chunkType-head|stype-|voicetype-	12	k1	_	_
2	of	of	p	IN	cat-p|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-One|chunkType-child|stype-|voicetype-	1	child	_	_
3	the	the	det	DT	cat-det|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-One|chunkType-child|stype-|voicetype-	1	child	_	_
4	best	good	adj	JJS	cat-adj|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-One|chunkType-child|stype-|voicetype-	1	child	_	_
5	potato	potato	n	PRP	cat-n|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-One|chunkType-child|stype-|voicetype-	1	child	_	_
6	species	specie	n	NNS	cat-n|gen-m|num-p|pers-3|case-0|vib-|tam-|chunkId-One|chunkType-child|stype-|voicetype-	1	child	_	_
7	,	comma	punc	SYM	cat-punc|gen-n|num-s|pers-3|case-0|vib-|tam-|chunkId-One|chunkType-child|stype-|voicetype-	1	child	_	_
8	Canada	'	nnp	NNP	cat-|gen-|num-|pers-|case-|vib-|tam-|chunkId-NP3|chunkType-head|stype-|voicetype-	1	nmod	_	_
9	's	'	pos	POS	cat-|gen-|num-|pers-|case-|vib-|tam-|chunkId-Canada|chunkType-child|stype-|voicetype-	8	child	_	_
10	tuber	tuber	n	NN	cat-n|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-Canada|chunkType-child|stype-|voicetype-	8	child	_	_
11	potato	potato	n	NN	cat-n|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-Canada|chunkType-child|stype-|voicetype-	8	child	_	_
12	will	will	v	MD	cat-v|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-VG|chunkType-head|stype-|voicetype-	0	root	_	_
13	now	now	D	RB	cat-D|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-will|chunkType-child|stype-|voicetype-	12	child	_	_
14	grow	grow	v	VB	cat-v|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-will|chunkType-child|stype-|voicetype-	12	child	_	_
15	in	in	p	IN	cat-p|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-PP|chunkType-head|stype-|voicetype-	12	k7p	_	_
16	Himachal	'	nnp	NNP	cat-|gen-|num-|pers-|case-|vib-|tam-|chunkId-in|chunkType-child|stype-|voicetype-	15	child	_	_
17	's	'	pos	POS	cat-|gen-|num-|pers-|case-|vib-|tam-|chunkId-in|chunkType-child|stype-|voicetype-	15	child	_	_
18	tribal	tribal	adj	JJ	cat-adj|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-in|chunkType-child|stype-|voicetype-	15	child	_	_
19	areas	area	n	NNS	cat-n|gen-m|num-p|pers-3|case-0|vib-|tam-|chunkId-in|chunkType-child|stype-|voicetype-	15	child	_	_
20	.	.	punc	SYM	cat-punc|gen-n|num-s|pers-3|case-0|vib-|tam-|chunkId-in|chunkType-child|stype-|voicetype-	15	child	_	_

1	The	the	det	DT	cat-det|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-NP|chunkType-head|stype-|voicetype-	5	k1	_	_
2	company	company	n	NN	cat-n|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-The|chunkType-child|stype-|voicetype-	1	child	_	_
3	's	'	pos	POS	cat-|gen-|num-|pers-|case-|vib-|tam-|chunkId-The|chunkType-child|stype-|voicetype-	1	child	_	_
4	experts	expert	n	NNS	cat-n|gen-m|num-p|pers-3|case-0|vib-|tam-|chunkId-The|chunkType-child|stype-|voicetype-	1	child	_	_
5	are	be	v	VBP	cat-v|gen-m|num-p|pers-3|case-0|vib-|tam-|chunkId-VG|chunkType-head|stype-|voicetype-	0	root	_	_
6	reaching	reach	v	VBG	cat-v|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-are|chunkType-child|stype-|voicetype-	5	child	_	_
7	the	the	det	DT	cat-det|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-NP2|chunkType-head|stype-|voicetype-	5	k7p	_	_
8	valley	valley	n	NN	cat-n|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-the|chunkType-child|stype-|voicetype-	7	child	_	_
9	on	on	p	IN	cat-p|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-PP|chunkType-head|stype-|voicetype-	5	k7t	_	_
10	Wednesday	wednesday	n	NNP	cat-n|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-on|chunkType-child|stype-|voicetype-	9	child	_	_
11	to	to	p	TO	cat-p|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-VG2|chunkType-head|stype-|voicetype-	5	rt	_	_
12	inspect	inspect	v	VB	cat-v|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-to|chunkType-child|stype-|voicetype-	11	child	_	_
13	the	the	det	DT	cat-det|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-NP4|chunkType-head|stype-|voicetype-	11	k2	_	_
14	potato	potato	n	NN	cat-n|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-the2|chunkType-child|stype-|voicetype-	13	child	_	_
15	crop	crop	n	NN	cat-n|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-the2|chunkType-child|stype-|voicetype-	13	child	_	_
16	planted	plant	v	VBN	cat-v|gen-m|num-p|pers-3|case-0|vib-|tam-|chunkId-VG3|chunkType-head|stype-|voicetype-	13	nmod	_	_
17	at	at	p	IN	cat-p|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-PP2|chunkType-head|stype-|voicetype-	16	k7p	_	_
18	Biling	'	nnp	NNP	cat-|gen-|num-|pers-|case-|vib-|tam-|chunkId-at|chunkType-child|stype-|voicetype-	17	child	_	_
19	village	village	n	NN	cat-n|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-at|chunkType-child|stype-|voicetype-	17	child	_	_
20	by	by	p	IN	cat-p|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-PP3|chunkType-head|stype-|voicetype-	16	k1	_	_
21	the	the	det	DT	cat-det|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-by|chunkType-child|stype-|voicetype-	20	child	_	_
22	Lahaul	'	nnp	NNP	cat-|gen-|num-|pers-|case-|vib-|tam-|chunkId-by|chunkType-child|stype-|voicetype-	20	child	_	_
23	Potato	potato	n	NNP	cat-n|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-by|chunkType-child|stype-|voicetype-	20	child	_	_
24	Society	society	n	NNP	cat-n|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-by|chunkType-child|stype-|voicetype-	20	child	_	_
25	(	'	sym	SYM	cat-|gen-|num-|pers-|case-|vib-|tam-|chunkId-by|chunkType-child|stype-|voicetype-	20	child	_	_
26	LPC	'	nnp	NNP	cat-|gen-|num-|pers-|case-|vib-|tam-|chunkId-by|chunkType-child|stype-|voicetype-	20	child	_	_
27	)	'	sym	SYM	cat-|gen-|num-|pers-|case-|vib-|tam-|chunkId-by|chunkType-child|stype-|voicetype-	20	child	_	_
