1	When	when	Conj	WRB	cat-Conj|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-ADVP|chunkType-head|stype-|voicetype-	5	k7t	_	_
2	the	the	det	DT	cat-det|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-NP|chunkType-head|stype-|voicetype-	5	k4	_	_
3	Indian	'	jj	JJ	cat-|gen-|num-|pers-|case-|vib-|tam-|chunkId-the|chunkType-child|stype-|voicetype-	2	child	_	_
4	officials	official	n	NNS	cat-n|gen-m|num-p|pers-3|case-0|vib-|tam-|chunkId-the|chunkType-child|stype-|voicetype-	2	child	_	_
5	were	be	v	VBD	cat-v|gen-m|num-p|pers-3|case-0|vib-|tam-|chunkId-VG|chunkType-head|stype-|voicetype-	25	nmod__relc	_	_
6	asked	ask	v	VBN	cat-v|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-were|chunkType-child|stype-|voicetype-	5	child	_	_
7	as	as	n	IN	cat-n|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-PP|chunkType-head|stype-|voicetype-	11	k2	_	_
8	to	to	v	TO	cat-v|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-as|chunkType-child|stype-|voicetype-	7	child	_	_
9	what	what	P	WP	cat-P|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-as|chunkType-child|stype-|voicetype-	7	child	_	_
10	provisions	provision	v	PRP	cat-v|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-as|chunkType-child|stype-|voicetype-	7	child	_	_
11	had	have	v	VBD	cat-v|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-VG2|chunkType-head|stype-|voicetype-	5	k2	_	_
12	been	be	v	VBN	cat-v|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-had|chunkType-child|stype-|voicetype-	11	child	_	_
13	made	make	v	VBN	cat-v|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-had|chunkType-child|stype-|voicetype-	11	child	_	_
14	for	for	Comp	IN	cat-Comp|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-PP2|chunkType-head|stype-|voicetype-	11	rt	_	_
15	passengers	passenger	n	NNS	cat-n|gen-m|num-p|pers-3|case-0|vib-|tam-|chunkId-for|chunkType-child|stype-|voicetype-	14	child	_	_
16	in	in	p	IN	cat-p|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-PP3|chunkType-head|stype-|voicetype-	11	k7	_	_
17	the	the	det	DT	cat-det|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-in|chunkType-child|stype-|voicetype-	16	child	_	_
18	event	event	n	NN	cat-n|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-in|chunkType-child|stype-|voicetype-	16	child	_	_
19	of	of	p	IN	cat-p|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-PP4|chunkType-head|stype-|voicetype-	16	r6	_	_
20	cancellation	cancellation	n	NN	cat-n|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-of|chunkType-child|stype-|voicetype-	19	child	_	_
21	of	of	p	IN	cat-p|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-PP5|chunkType-head|stype-|voicetype-	19	r6	_	_
