1	Welcoming	welcome	v	VBG	cat-v|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-VG|chunkType-head|stype-|voicetype-	19	vmod	_	_
2	the	the	det	DT	cat-det|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-NP|chunkType-head|stype-|voicetype-	1	k2	_	_
3	new	new	adj	JJ	cat-adj|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-the|chunkType-child|stype-|voicetype-	2	child	_	_
4	Home	home	p	NNP	cat-p|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-the|chunkType-child|stype-|voicetype-	2	child	_	_
5	Minister	minister	v	NNP	cat-v|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-the|chunkType-child|stype-|voicetype-	2	child	_	_
6	statement	statement	n	NN	cat-n|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-the|chunkType-child|stype-|voicetype-	2	child	_	_
7	over	over	p	IN	cat-p|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-PP|chunkType-head|stype-|voicetype-	2	nmod	_	_
8	the	the	det	DT	cat-det|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-over|chunkType-child|stype-|voicetype-	7	child	_	_
9	continuation	continuation	n	NN	cat-n|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-over|chunkType-child|stype-|voicetype-	7	child	_	_
10	of	of	p	IN	cat-p|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-PP2|chunkType-head|stype-|voicetype-	7	r6	_	_
11	dialogue	dialogue	v	NN	cat-v|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-of|chunkType-child|stype-|voicetype-	10	child	_	_
12	with	with	p	IN	cat-p|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-PP3|chunkType-head|stype-|voicetype-	10	nmod	_	_
13	separatists	separatist	n	NNS	cat-n|gen-m|num-p|pers-3|case-0|vib-|tam-|chunkId-with|chunkType-child|stype-|voicetype-	12	child	_	_
14	in	in	p	IN	cat-p|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-PP4|chunkType-head|stype-|voicetype-	12	nmod	_	_
