1	Along	along	p	IN	cat-p|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-NP|chunkType-head|stype-|voicetype-	7	ras-k2	_	_
2	with	with	p	IN	cat-p|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-Along|chunkType-child|stype-|voicetype-	1	child	_	_
3	this	this	det	DT	cat-det|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-Along|chunkType-child|stype-|voicetype-	1	child	_	_
4	,	comma	punc	SYM	cat-punc|gen-n|num-s|pers-3|case-0|vib-|tam-|chunkId-Along|chunkType-child|stype-|voicetype-	1	child	_	_
5	the	the	det	DT	cat-det|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-NP3|chunkType-head|stype-|voicetype-	7	k1	_	_
6	party	party	n	NN	cat-n|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-the|chunkType-child|stype-|voicetype-	5	child	_	_
7	has	have	v	VBZ	cat-v|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-VG|chunkType-head|stype-|voicetype-	0	root	_	_
8	demanded	demand	v	VBN	cat-v|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-has|chunkType-child|stype-|voicetype-	7	child	_	_
9	that	that	Comp	IN	cat-Comp|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-CCP|chunkType-head|stype-|voicetype-	7	k2	_	_
10	the	the	det	DT	cat-det|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-NP4|chunkType-head|stype-|voicetype-	31	k2	_	_
11	report	report	n	NN	cat-n|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-the2|chunkType-child|stype-|voicetype-	10	child	_	_
12	of	of	p	IN	cat-p|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-PP|chunkType-head|stype-|voicetype-	10	r6	_	_
13	the	the	det	DT	cat-det|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-of|chunkType-child|stype-|voicetype-	12	child	_	_
14	conversation	conversation	n	NN	cat-n|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-of|chunkType-child|stype-|voicetype-	12	child	_	_
15	between	between	p	IN	cat-p|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-PP2|chunkType-head|stype-|voicetype-	20	ccof	_	_
16	Prime	prime	n	NNP	cat-n|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-between|chunkType-child|stype-|voicetype-	15	child	_	_
17	Minister	minister	n	NNP	cat-n|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-between|chunkType-child|stype-|voicetype-	15	child	_	_
18	Manmohan	'	nnp	NNP	cat-|gen-|num-|pers-|case-|vib-|tam-|chunkId-between|chunkType-child|stype-|voicetype-	15	child	_	_
19	Singh	'	nnp	NNP	cat-|gen-|num-|pers-|case-|vib-|tam-|chunkId-between|chunkType-child|stype-|voicetype-	15	child	_	_
20	and	and	Conj	CC	cat-Conj|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-CCP2|chunkType-head|stype-|voicetype-	12	nmod	_	_
21	Pakistan	'	nnp	NNP	cat-|gen-|num-|pers-|case-|vib-|tam-|chunkId-NP7|chunkType-head|stype-|voicetype-	20	ccof	_	_
22	's	'	pos	POS	cat-|gen-|num-|pers-|case-|vib-|tam-|chunkId-Pakistan|chunkType-child|stype-|voicetype-	21	child	_	_
23	President	president	n	NNP	cat-n|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-Pakistan|chunkType-child|stype-|voicetype-	21	child	_	_
24	Parvez	'	nnp	NNP	cat-|gen-|num-|pers-|case-|vib-|tam-|chunkId-Pakistan|chunkType-child|stype-|voicetype-	21	child	_	_
25	Musharraf	'	nnp	NNP	cat-|gen-|num-|pers-|case-|vib-|tam-|chunkId-Pakistan|chunkType-child|stype-|voicetype-	21	child	_	_
26	in	in	p	IN	cat-p|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-PP3|chunkType-head|stype-|voicetype-	12	nmod	_	_
