1	Theft	theft	n	NNPS	cat-n|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-NP|chunkType-head|stype-|voicetype-	5	rs	_	_
2	and	and	Conj	CC	cat-Conj|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-Theft|chunkType-child|stype-|voicetype-	1	child	_	_
3	Accusations	accusation	n	NNPS	cat-n|gen-m|num-p|pers-3|case-0|vib-|tam-|chunkId-Theft|chunkType-child|stype-|voicetype-	1	child	_	_
4	...	.	punc	SYM	cat-punc|gen-n|num-s|pers-3|case-0|vib-|tam-|chunkId-Theft|chunkType-child|stype-|voicetype-	1	child	_	_
5	This	this	det	DT	cat-det|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-NP2|chunkType-head|stype-|voicetype-	6	k1	_	_
6	is	be	v	VBZ	cat-v|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-VG|chunkType-head|stype-|voicetype-	0	root	_	_
7	what	what	P	WP	cat-P|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-NP3|chunkType-head|stype-|voicetype-	8	k1	_	_
8	's	be	v	VBZ	cat-v|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-VG2|chunkType-head|stype-|voicetype-	6	nmod__relc	_	_
9	going	go	v	VBG	cat-v|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-s|chunkType-child|stype-|voicetype-	8	child	_	_
10	on	on	p	IN	cat-p|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-PP|chunkType-head|stype-|voicetype-	8	pof	_	_
11	at	at	p	IN	cat-p|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-PP2|chunkType-head|stype-|voicetype-	8	k7	_	_
12	the	the	det	DT	cat-det|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-at|chunkType-child|stype-|voicetype-	11	child	_	_
13	Lakme	'	nnp	NNP	cat-|gen-|num-|pers-|case-|vib-|tam-|chunkId-at|chunkType-child|stype-|voicetype-	11	child	_	_
14	India	'	nnp	NNP	cat-|gen-|num-|pers-|case-|vib-|tam-|chunkId-at|chunkType-child|stype-|voicetype-	11	child	_	_
15	Fashion	fashion	n	NNP	cat-n|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-at|chunkType-child|stype-|voicetype-	11	child	_	_
16	Week	week	n	NNP	cat-n|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-at|chunkType-child|stype-|voicetype-	11	child	_	_
17	this	this	det	DT	cat-det|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-NP5|chunkType-head|stype-|voicetype-	8	k7t	_	_
18	year	year	n	NN	cat-n|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-this|chunkType-child|stype-|voicetype-	17	child	_	_
19	.	.	punc	SYM	cat-punc|gen-n|num-s|pers-3|case-0|vib-|tam-|chunkId-this|chunkType-child|stype-|voicetype-	17	child	_	_

1	If	if	Comp	IN	cat-Comp|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-CCP|chunkType-head|stype-|voicetype-	10	vmod	_	_
2	there	there	ex	EX	cat-ex|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-NP|chunkType-head|stype-|voicetype-	3	dummy	_	_
3	is	be	v	VBZ	cat-v|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-VG|chunkType-head|stype-|voicetype-	1	ccof	_	_
4	something	something	n	NN	cat-n|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-NP2|chunkType-head|stype-|voicetype-	3	k2	_	_
5	'	'	sym	SYM	cat-|gen-|num-|pers-|case-|vib-|tam-|chunkId-something|chunkType-child|stype-|voicetype-	4	child	_	_
6	original	original	n	NN	cat-n|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-something|chunkType-child|stype-|voicetype-	4	child	_	_
7	'	comma	punc	SYM	cat-punc|gen-n|num-s|pers-3|case-0|vib-|tam-|chunkId-something|chunkType-child|stype-|voicetype-	4	child	_	_
8	then	then	D	RB	cat-D|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-ADVP|chunkType-head|stype-|voicetype-	0	root	_	_
9	it	it	P	PRP	cat-P|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-NP3|chunkType-head|stype-|voicetype-	10	k1	_	_
10	's	be	v	VBZ	cat-v|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-VG2|chunkType-head|stype-|voicetype-	8	ccof	_	_
11	work	work	n	NN	cat-n|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-NP4|chunkType-head|stype-|voicetype-	10	k1s	_	_
12	of	of	p	IN	cat-p|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-PP|chunkType-head|stype-|voicetype-	11	r6	_	_
13	the	the	det	DT	cat-det|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-of|chunkType-child|stype-|voicetype-	12	child	_	_
14	older	old	adj	JJR	cat-adj|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-of|chunkType-child|stype-|voicetype-	12	child	_	_
15	and	and	Conj	CC	cat-Conj|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-of|chunkType-child|stype-|voicetype-	12	child	_	_
16	established	establish	v	JJ	cat-v|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-of|chunkType-child|stype-|voicetype-	12	child	_	_
17	fashion	fashion	n	NN	cat-n|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-of|chunkType-child|stype-|voicetype-	12	child	_	_
18	designers	designer	n	NNS	cat-n|gen-m|num-p|pers-3|case-0|vib-|tam-|chunkId-of|chunkType-child|stype-|voicetype-	12	child	_	_
19	that	that	det	WDT	cat-det|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-NP6|chunkType-head|stype-|voicetype-	20	k2	_	_
20	is	be	v	VBZ	cat-v|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-VG3|chunkType-head|stype-|voicetype-	11	nmod__relc	_	_
21	being	be	v	VBG	cat-v|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-is2|chunkType-child|stype-|voicetype-	20	child	_	_
22	noticed	notice	v	VBN	cat-v|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-is2|chunkType-child|stype-|voicetype-	20	child	_	_
23	.	.	punc	SYM	cat-punc|gen-n|num-s|pers-3|case-0|vib-|tam-|chunkId-is2|chunkType-child|stype-|voicetype-	20	child	_	_

1	It	it	P	PRP	cat-P|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-NP|chunkType-head|stype-|voicetype-	2	dummy	_	_
2	was	be	v	VBD	cat-v|gen-m|num-s|pers-1|case-0|vib-|tam-|chunkId-VG|chunkType-head|stype-|voicetype-	14	ccof	_	_
3	the	the	det	DT	cat-det|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-NP2|chunkType-head|stype-|voicetype-	2	k2	_	_
4	sixth	sixth	adj	JJ	cat-adj|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-the|chunkType-child|stype-|voicetype-	3	child	_	_
5	day	day	n	NN	cat-n|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-the|chunkType-child|stype-|voicetype-	3	child	_	_
6	of	of	p	IN	cat-p|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-PP|chunkType-head|stype-|voicetype-	3	r6	_	_
7	the	the	det	DT	cat-det|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-of|chunkType-child|stype-|voicetype-	6	child	_	_
8	Lakme	'	nnp	NNP	cat-|gen-|num-|pers-|case-|vib-|tam-|chunkId-of|chunkType-child|stype-|voicetype-	6	child	_	_
9	India	'	nnp	NNP	cat-|gen-|num-|pers-|case-|vib-|tam-|chunkId-of|chunkType-child|stype-|voicetype-	6	child	_	_
10	Fashion	fashion	n	NNP	cat-n|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-of|chunkType-child|stype-|voicetype-	6	child	_	_
11	week	week	n	NN	cat-n|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-of|chunkType-child|stype-|voicetype-	6	child	_	_
12	on	on	p	IN	cat-p|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-PP2|chunkType-head|stype-|voicetype-	2	k7t	_	_
13	Monday	monday	n	NNP	cat-n|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-on|chunkType-child|stype-|voicetype-	12	child	_	_
14	and	and	Conj	CC	cat-Conj|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-CCP|chunkType-head|stype-|voicetype-	0	root	_	_
15	the	the	det	DT	cat-det|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-NP5|chunkType-head|stype-|voicetype-	17	k1	_	_
16	morning	morning	n	NN	cat-n|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-the3|chunkType-child|stype-|voicetype-	15	child	_	_
17	began	begin	v	VBD	cat-v|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-VG2|chunkType-head|stype-|voicetype-	14	ccof	_	_
18	with	with	p	IN	cat-p|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-PP3|chunkType-head|stype-|voicetype-	17	ras-k1	_	_
19	a	a	det	DT	cat-det|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-with|chunkType-child|stype-|voicetype-	18	child	_	_
20	controversy	'	nn	NN	cat-|gen-|num-|pers-|case-|vib-|tam-|chunkId-with|chunkType-child|stype-|voicetype-	18	child	_	_
21	.	.	punc	SYM	cat-punc|gen-n|num-s|pers-3|case-0|vib-|tam-|chunkId-with|chunkType-child|stype-|voicetype-	18	child	_	_

1	The	the	det	DT	cat-det|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-NP|chunkType-head|stype-|voicetype-	7	k1	_	_
2	famous	famous	adj	JJ	cat-adj|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-The|chunkType-child|stype-|voicetype-	1	child	_	_
3	fashion	fashion	n	NN	cat-n|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-The|chunkType-child|stype-|voicetype-	1	child	_	_
4	designer	designer	n	NN	cat-n|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-The|chunkType-child|stype-|voicetype-	1	child	_	_
5	Sunit	'	nnp	NNP	cat-|gen-|num-|pers-|case-|vib-|tam-|chunkId-The|chunkType-child|stype-|voicetype-	1	child	_	_
6	Verma	'	nnp	NNP	cat-|gen-|num-|pers-|case-|vib-|tam-|chunkId-The|chunkType-child|stype-|voicetype-	1	child	_	_
7	called	call	v	VBD	cat-v|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-VG|chunkType-head|stype-|voicetype-	17	ccof	_	_
8	the	the	det	DT	cat-det|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-NP2|chunkType-head|stype-|voicetype-	7	k2	_	_
9	press	press	n	NN	cat-n|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-the|chunkType-child|stype-|voicetype-	8	child	_	_
10	against	against	p	IN	cat-p|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-PP|chunkType-head|stype-|voicetype-	7	vmod	_	_
11	the	the	det	DT	cat-det|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-against|chunkType-child|stype-|voicetype-	10	child	_	_
12	Bollywood	'	nnp	NNP	cat-|gen-|num-|pers-|case-|vib-|tam-|chunkId-against|chunkType-child|stype-|voicetype-	10	child	_	_
13	fashion	fashion	n	NN	cat-n|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-against|chunkType-child|stype-|voicetype-	10	child	_	_
14	designer	designer	n	NN	cat-n|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-against|chunkType-child|stype-|voicetype-	10	child	_	_
15	Aki	'	nnp	NNP	cat-|gen-|num-|pers-|case-|vib-|tam-|chunkId-against|chunkType-child|stype-|voicetype-	10	child	_	_
16	Narula	'	nnp	NNP	cat-|gen-|num-|pers-|case-|vib-|tam-|chunkId-against|chunkType-child|stype-|voicetype-	10	child	_	_
17	and	and	Conj	CC	cat-Conj|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-CCP|chunkType-head|stype-|voicetype-	0	root	_	_
18	said	say	v	VBD	cat-v|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-VG2|chunkType-head|stype-|voicetype-	17	ccof	_	_
19	that	that	Comp	IN	cat-Comp|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-CCP2|chunkType-head|stype-|voicetype-	18	k2	_	_
20	Aki	'	nnp	NNP	cat-|gen-|num-|pers-|case-|vib-|tam-|chunkId-NP4|chunkType-head|stype-|voicetype-	22	k1	_	_
21	Narula	'	nnp	NNP	cat-|gen-|num-|pers-|case-|vib-|tam-|chunkId-Aki2|chunkType-child|stype-|voicetype-	20	child	_	_
22	stole	steal	v	VBD	cat-v|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-VG3|chunkType-head|stype-|voicetype-	31	ccof	_	_
23	the	the	det	DT	cat-det|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-NP5|chunkType-head|stype-|voicetype-	22	k2	_	_
24	outfit	outfit	n	NN	cat-n|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-the3|chunkType-child|stype-|voicetype-	23	child	_	_
25	he	he	P	PRP	cat-P|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-NP6|chunkType-head|stype-|voicetype-	26	k1	_	_
26	had	have	v	VBD	cat-v|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-VG4|chunkType-head|stype-|voicetype-	23	nmod__relc	_	_
27	created	create	v	VBN	cat-v|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-had|chunkType-child|stype-|voicetype-	26	child	_	_
28	in	in	p	IN	cat-p|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-PP2|chunkType-head|stype-|voicetype-	26	k7t	_	_
29	2003	'	cd	CD	cat-|gen-|num-|pers-|case-|vib-|tam-|chunkId-in|chunkType-child|stype-|voicetype-	28	child	_	_
30	,	comma	punc	SYM	cat-punc|gen-n|num-s|pers-3|case-0|vib-|tam-|chunkId-in|chunkType-child|stype-|voicetype-	28	child	_	_
31	and	and	Conj	CC	cat-Conj|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-CCP3|chunkType-head|stype-|voicetype-	19	ccof	_	_
32	dressed	dress	v	VBD	cat-v|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-VG5|chunkType-head|stype-|voicetype-	31	ccof	_	_
33	Rani	rani	n	NNP	cat-n|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-NP8|chunkType-head|stype-|voicetype-	32	k2	_	_
34	Mukherjee	'	nnp	NNP	cat-|gen-|num-|pers-|case-|vib-|tam-|chunkId-Rani|chunkType-child|stype-|voicetype-	33	child	_	_
35	in	in	p	IN	cat-p|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-PP3|chunkType-head|stype-|voicetype-	32	k7	_	_
36	it	it	P	PRP	cat-P|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-in2|chunkType-child|stype-|voicetype-	35	child	_	_
37	in	in	p	IN	cat-p|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-PP4|chunkType-head|stype-|voicetype-	32	k7	_	_
38	Shaad	'	nnp	NNP	cat-|gen-|num-|pers-|case-|vib-|tam-|chunkId-in3|chunkType-child|stype-|voicetype-	37	child	_	_
