1	Who	who	P	WP	cat-P|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-NP|chunkType-head|stype-|voicetype-	2	k1	_	_
2	's	is	v	VBZ	cat-v|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-VG|chunkType-head|stype-|voicetype-	0	root	_	_
3	complaining	complain	v	VBG	cat-v|gen-m|num-p|pers-3|case-0|vib-|tam-|chunkId-is|chunkType-child|stype-|voicetype-	2	child	_	_
4	against	against	p	IN	cat-p|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-PP|chunkType-head|stype-|voicetype-	2	vmod	_	_
5	Gaur	gaur	n	NNP	cat-n|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-against|chunkType-child|stype-|voicetype-	4	child	_	_
6	?	comma	punc	SYM	cat-punc|gen-n|num-s|pers-3|case-0|vib-|tam-|chunkId-against|chunkType-child|stype-|voicetype-	4	child	_	_

1	Amar	'	nnp	NNP	cat-|gen-|num-|pers-|case-|vib-|tam-|chunkId-NP|chunkType-head|stype-|voicetype-	0	root	_	_
2	Ujala	'	nnp	NNP	cat-|gen-|num-|pers-|case-|vib-|tam-|chunkId-Amar|chunkType-child|stype-|voicetype-	1	child	_	_
3	Bureau	bureau	n	NNP	cat-n|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-Amar|chunkType-child|stype-|voicetype-	1	child	_	_
4	New	new	n	NNP	cat-n|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-Amar|chunkType-child|stype-|voicetype-	1	child	_	_
5	Delhi	'	nnp	NNP	cat-|gen-|num-|pers-|case-|vib-|tam-|chunkId-Amar|chunkType-child|stype-|voicetype-	1	child	_	_
6	.	.	punc	SYM	cat-punc|gen-n|num-s|pers-3|case-0|vib-|tam-|chunkId-Amar|chunkType-child|stype-|voicetype-	1	child	_	_

1	However	however	D	RB	cat-D|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-ADVP|chunkType-head|stype-|voicetype-	12	sent-adv	_	_
2	,	comma	punc	SYM	cat-punc|gen-n|num-s|pers-3|case-0|vib-|tam-|chunkId-However|chunkType-child|stype-|voicetype-	1	child	_	_
3	in	in	p	IN	cat-p|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-PP|chunkType-head|stype-|voicetype-	12	k7	_	_
4	their	he	det	PRP$	cat-det|gen-m|num-p|pers-3|case-0|vib-|tam-|chunkId-in|chunkType-child|stype-|voicetype-	3	child	_	_
5	complaints	complaint	n	NNS	cat-n|gen-m|num-p|pers-3|case-0|vib-|tam-|chunkId-in|chunkType-child|stype-|voicetype-	3	child	_	_
6	filed	file	v	VBN	cat-v|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-VG|chunkType-head|stype-|voicetype-	3	nmod	_	_
7	with	with	p	IN	cat-p|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-PP2|chunkType-head|stype-|voicetype-	6	k7	_	_
8	the	the	det	DT	cat-det|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-with|chunkType-child|stype-|voicetype-	7	child	_	_
9	commission	commission	n	NN	cat-n|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-with|chunkType-child|stype-|voicetype-	7	child	_	_
10	these	these	det	DT	cat-det|gen-m|num-p|pers-3|case-0|vib-|tam-|chunkId-NP3|chunkType-head|stype-|voicetype-	12	k1	_	_
11	women	woman	n	NNS	cat-n|gen-m|num-p|pers-3|case-0|vib-|tam-|chunkId-these|chunkType-child|stype-|voicetype-	10	child	_	_
12	have	have	v	VBP	cat-v|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-VG2|chunkType-head|stype-|voicetype-	0	root	_	_
13	not	not	D	RB	cat-D|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-have|chunkType-child|stype-|voicetype-	12	child	_	_
14	disclosed	disclose	v	VBN	cat-v|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-have|chunkType-child|stype-|voicetype-	12	child	_	_
15	their	he	det	PRP$	cat-det|gen-m|num-p|pers-3|case-0|vib-|tam-|chunkId-NP4|chunkType-head|stype-|voicetype-	12	k2	_	_
16	names	name	n	NNS	cat-n|gen-m|num-p|pers-3|case-0|vib-|tam-|chunkId-their2|chunkType-child|stype-|voicetype-	15	child	_	_
17	and	and	Conj	CC	cat-Conj|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-their2|chunkType-child|stype-|voicetype-	15	child	_	_
18	addresses	address	n	NNS	cat-n|gen-m|num-p|pers-3|case-0|vib-|tam-|chunkId-their2|chunkType-child|stype-|voicetype-	15	child	_	_
